id,task_id,sample_no,task,true_result,model_result,accuracy,soft_accuracy
1,12,0,"1. Mary and John journeyed to the office.
2. John and Sandra went to the hallway.
3. Where is Mary?",office,office,0.6,0.72
2,12,0,"4. Daniel and Mary journeyed to the bedroom.
5. Mary and Sandra moved to the bathroom.
6. Where is Daniel?",bedroom,bedroom,-0.0,-0.0
3,12,0,"7. Mary and John travelled to the office.
8. Sandra and Mary went back to the bedroom.
9. Where is Mary?",bedroom,office,-0.0,-0.0
4,12,0,"10. Daniel and Mary went to the hallway.
11. John and Sandra travelled to the garden.
12. Where is Daniel?",hallway,hallway,-0.0,-0.0
5,12,0,"13. Sandra and John moved to the office.
14. John and Mary went back to the bedroom.
15. Where is John?",bedroom,office,-0.0,-0.0
6,12,1,"1. Daniel and Sandra went back to the kitchen.
2. Daniel and John went back to the hallway.
3. Where is Daniel?",hallway,kitchen,-0.0,-0.0
7,12,1,"4. Daniel and John moved to the bathroom.
5. Sandra and Mary travelled to the office.
6. Where is Daniel?",bathroom,bathroom,-0.0,-0.0
8,12,1,"7. John and Mary travelled to the hallway.
8. Sandra and Mary journeyed to the garden.
9. Where is Mary?",garden,hallway or garden,-0.0,-0.0
9,12,1,"10. Daniel and Sandra went back to the bedroom.
11. Daniel and John went back to the kitchen.
12. Where is Mary?",garden,hallway or garden,-0.0,-0.0
10,12,1,"13. Sandra and John journeyed to the hallway.
14. John and Sandra journeyed to the bathroom.
15. Where is John?",bathroom,hallway or bathroom,-0.0,-0.0
11,12,2,"1. John and Daniel moved to the hallway.
2. Mary and Sandra travelled to the hallway.
3. Where is Daniel?",hallway,hallway,-0.0,-0.0
12,12,2,"4. Daniel and John moved to the kitchen.
5. John and Daniel travelled to the garden.
6. Where is John?",garden,kitchen,-0.0,-0.0
13,12,2,"7. Sandra and John moved to the bedroom.
8. Sandra and Daniel went back to the kitchen.
9. Where is Sandra?",kitchen,bedroom,-0.0,-0.0
14,12,2,"10. Sandra and John journeyed to the hallway.
11. John and Daniel went back to the bedroom.
12. Where is Daniel?",bedroom,bedroom,-0.0,-0.0
15,12,2,"13. John and Sandra went back to the kitchen.
14. Daniel and Sandra travelled to the bathroom.
15. Where is Daniel?",bathroom,bathroom,-0.0,-0.0
16,12,3,"1. Mary and Sandra journeyed to the kitchen.
2. Daniel and Mary went to the hallway.
3. Where is Daniel?",hallway,hallway,-0.0,-0.0
17,12,3,"4. John and Mary went back to the kitchen.
5. Mary and Daniel went to the bedroom.
6. Where is Daniel?",bedroom,bedroom,-0.0,-0.0
18,12,3,"7. Sandra and Daniel went to the garden.
8. Daniel and John went to the bathroom.
9. Where is Daniel?",bathroom,garden,-0.0,-0.0
19,12,3,"10. Daniel and Sandra moved to the kitchen.
11. John and Sandra travelled to the garden.
12. Where is John?",garden,garden,-0.0,-0.0
20,12,3,"13. John and Mary moved to the kitchen.
14. Sandra and Daniel went to the office.
15. Where is Daniel?",office,office,-0.0,-0.0
21,12,4,"1. Sandra and Daniel journeyed to the bedroom.
2. Mary and John moved to the bathroom.
3. Where is John?",bathroom,bathroom,-0.0,-0.0
22,12,4,"4. John and Sandra moved to the office.
5. Daniel and Sandra travelled to the hallway.
6. Where is John?",office,office,-0.0,-0.0
23,12,4,"7. Sandra and Mary went to the bedroom.
8. Sandra and Mary went back to the office.
9. Where is Mary?",office,office,-0.0,-0.0
24,12,4,"10. Mary and Sandra journeyed to the kitchen.
11. Mary and Daniel went to the bedroom.
12. Where is Daniel?",bedroom,bedroom,-0.0,-0.0
25,12,4,"13. Mary and Sandra moved to the garden.
14. Sandra and Daniel journeyed to the hallway.
15. Where is Sandra?",hallway,garden,-0.0,-0.0
26,13,0,"1. John and Mary went back to the kitchen.
2. After that they journeyed to the bathroom.
3. Where is John?",bathroom,kitchen,0.24,0.24
