task	true_result	model_result	accuracy
"1. John travelled to the hallway.
2. Mary journeyed to the bathroom.
3. Where is John? "	hallway	answer: hallway	0.0
"4. Daniel went back to the bathroom.
5. John moved to the bedroom.
6. Where is Mary? "	bathroom	"1. hallway
2. bathroom
3. hall"
"7. John went to the hallway.
8. Sandra journeyed to the kitchen.
9. Where is Sandra? "	kitchen	"1. hallway
3. playground
6. kitchen"
"10. Sandra travelled to the hallway.
11. John went to the garden.
12. Where is Sandra? "	hallway	"1. hallway
2. bathroom
3. hall"
"13. Sandra went back to the bathroom.
14. Sandra moved to the kitchen.
15. Where is Sandra? "	kitchen	"1. hallway
3. playground
6. kitchen"
"1. Mary got the milk there.
2. John moved to the bedroom.
3. Sandra went back to the kitchen.
4. Mary travelled to the hallway.
5. Where is the milk? "	hallway	answer: hallway	0.0
"6. John got the football there.
7. John went to the hallway.
8. Where is the football? "	bathroom	"1. hallway
2. bathroom
3. hall"
"9. John put down the football.
10. Mary went to the garden.
11. Where is the football? "	kitchen	"1. hallway
3. playground
6. kitchen"
"12. John went to the kitchen.
13. Sandra travelled to the hallway.
14. Where is the football? "	hallway	"1. hallway
2. bathroom
3. hall"
"15. Daniel went to the hallway.
16. Mary discarded the milk.
17. Where is the milk? "	kitchen	"1. hallway
3. playground
6. kitchen"
"1. Mary got the milk.
2. John moved to the bedroom.
3. Daniel journeyed to the office.
4. John grabbed the apple there.
5. John got the football.
6. John journeyed to the garden.
7. Mary left the milk.
8. John left the football.
9. Daniel moved to the garden.
10. Daniel grabbed the football.
11. Mary moved to the hallway.
12. Mary went to the kitchen.
13. John put down the apple there.
14. John picked up the apple.
15. Sandra moved to the hallway.
16. Daniel left the football there.
17. Daniel took the football.
18. John travelled to the kitchen.
19. Daniel dropped the football.
20. John dropped the apple.
21. John grabbed the apple.
22. John went to the office.
23. Sandra went back to the bedroom.
24. Sandra took the milk.
25. John journeyed to the bathroom.
26. John travelled to the office.
27. Sandra left the milk.
28. Mary went to the bedroom.
29. Mary moved to the office.
30. John travelled to the hallway.
31. Sandra moved to the garden.
32. Mary moved to the kitchen.
33. Daniel took the football.
34. Mary journeyed to the bedroom.
35. Mary grabbed the milk there.
36. Mary discarded the milk.
37. John went to the garden.
38. John discarded the apple there.
39. Where was the apple before the bathroom? "	hallway	answer: hallway	0.0
"40. Sandra travelled to the bedroom.
41. Daniel moved to the bathroom.
42. Where was the apple before the hallway? "	bathroom	"1. hallway
2. bathroom
3. hall"
"43. Sandra got the milk.
44. Daniel travelled to the garden.
45. Where was the apple before the hallway? "	kitchen	"1. hallway
3. playground
6. kitchen"
"46. Sandra went back to the bathroom.
47. Daniel took the apple there.
48. Mary went back to the hallway.
49. Daniel went to the hallway.
50. Sandra went to the kitchen.
51. Mary journeyed to the bedroom.
52. Sandra journeyed to the hallway.
53. Daniel put down the apple.
54. Daniel put down the football there.
55. Sandra journeyed to the garden.
56. Where was the football before the garden? "	hallway	"1. hallway
2. bathroom
3. hall"
"57. Mary travelled to the office.
58. Sandra dropped the milk.
59. Where was the football before the garden? "	kitchen	"1. hallway
3. playground
6. kitchen"
"1. The hallway is east of the bathroom.
2. The bedroom is west of the bathroom.
3. What is the bathroom east of?"	hallway	answer: hallway	0.0
"1. The bedroom is west of the kitchen.
2. The hallway is west of the bedroom.
3. What is west of the kitchen?"	bathroom	"1. hallway
2. bathroom
3. hall"
"1. The bathroom is north of the garden.
2. The hallway is north of the bathroom.
3. What is north of the garden?"	kitchen	"1. hallway
3. playground
6. kitchen"
"1. The kitchen is south of the bathroom.
2. The bedroom is south of the kitchen.
3. What is south of the kitchen?"	hallway	"1. hallway
2. bathroom
3. hall"
"1. The bedroom is east of the kitchen.
2. The office is east of the bedroom.
3. What is east of the kitchen?"	kitchen	"1. hallway
3. playground
6. kitchen"
"1. Fred picked up the football there.
2. Fred gave the football to Jeff.
3. What did Fred give to Jeff? "	hallway	answer: hallway	0.0
"4. Bill went back to the bathroom.
5. Jeff grabbed the milk there.
6. Who gave the football to Jeff? "	bathroom	"1. hallway
2. bathroom
3. hall"
"7. Jeff gave the football to Fred.
8. Fred handed the football to Jeff.
9. What did Fred give to Jeff? "	kitchen	"1. hallway
3. playground
6. kitchen"
"10. Jeff handed the football to Fred.
11. Fred gave the football to Jeff.
12. Who did Fred give the football to? "	hallway	"1. hallway
2. bathroom
3. hall"
"13. Jeff gave the football to Fred.
14. Jeff put down the milk.
15. Who did Jeff give the football to? "	kitchen	"1. hallway
3. playground
6. kitchen"
"1. Mary got the milk there.
2. John moved to the bedroom.
3. Is John in the kitchen? "	hallway	answer: hallway	0.03333333333333333
"4. Mary discarded the milk.
5. John went to the garden.
6. Is John in the kitchen? "	bathroom	"1. hallway
2. bathroom
3. hall"
"7. Daniel moved to the bedroom.
8. Daniel went to the garden.
9. Is John in the garden? "	kitchen	"1. hallway
3. playground
6. kitchen"
"10. Daniel travelled to the bathroom.
11. Sandra travelled to the bedroom.
12. Is Daniel in the bathroom? "	hallway	"1. hallway
2. bathroom
3. hall"
"13. Mary took the football there.
14. Sandra grabbed the milk there.
15. Is Daniel in the bedroom? "	kitchen	"1. hallway
3. playground
6. kitchen"
"1. Mary got the milk there.
2. John moved to the bedroom.
3. How many objects is Mary carrying? "	hallway	answer: hallway	0.02857142857142857
"4. Sandra went back to the bathroom.
5. John got the football there.
6. How many objects is Mary carrying? "	bathroom	"1. hallway
2. bathroom
3. hall"
"7. Mary journeyed to the bathroom.
8. Mary gave the milk to Sandra.
9. How many objects is Mary carrying? "	kitchen	"1. hallway
3. playground
6. kitchen"
"10. John went back to the bathroom.
11. John left the football.
12. How many objects is John carrying? "	hallway	"1. hallway
2. bathroom
3. hall"
"13. Sandra gave the milk to John.
14. John journeyed to the garden.
15. How many objects is John carrying? "	kitchen	"1. hallway
3. playground
6. kitchen"
"1. Mary got the milk there.
2. John moved to the bedroom.
3. What is Mary carrying? "	hallway	answer: hallway	0.075
"4. John picked up the football there.
5. John journeyed to the bathroom.
6. What is John carrying? "	bathroom	"1. hallway
2. bathroom
3. hall"
"7. John went to the garden.
8. Daniel went back to the hallway.
9. What is John carrying? "	kitchen	"1. hallway
3. playground
6. kitchen"
"10. John went back to the bathroom.
11. Mary went to the office.
12. Sandra went back to the kitchen.
13. Mary travelled to the hallway.
14. John travelled to the bedroom.
15. John picked up the apple there.
16. What is John carrying? "	hallway	"1. hallway
2. bathroom
3. hall"
"17. Sandra travelled to the bedroom.
18. Sandra journeyed to the kitchen.
19. What is John carrying? "	kitchen	"1. hallway
3. playground
6. kitchen"
"1. John is in the hallway.
2. Sandra is in the kitchen.
3. Is Sandra in the bedroom? "	hallway	answer: hallway	0.06666666666666667
"4. Sandra journeyed to the bedroom.
5. Mary travelled to the garden.
6. Is Sandra in the bedroom? "	bathroom	"1. hallway
2. bathroom
3. hall"
