entry_id	line_id	part_id	task_id	sample_id	context/question	human_subjects	non_human_subjects	subj_attributes	relations	generalized_relations	locations	direct_objects	obj_attributes	indirect_objects	result_relation	reasoning	implicit_object	implicit_relation	implicit_location	golden_answer	golden_supporting_facts
1	1	1	1	1	Daniel journeyed to the kitchen.	Daniel			journey	move	kitchen				be						
2	2	1	1	1	Daniel journeyed to the bedroom.	Daniel			journey	move	bedroom				be						
3	3	1	1	1	Where is Daniel?	Daniel			be	be					be					bedroom	2
4	4	2	1	1	Sandra moved to the garden.	Sandra			move	move	garden				be						
5	5	2	1	1	Sandra went back to the kitchen.	Sandra			go	move	kitchen				be						
6	6	2	1	1	Where is Sandra?	Sandra			be	be					be					kitchen	5
7	7	3	1	1	Daniel travelled to the office.	Daniel			travel	move	office				be						
8	8	3	1	1	Sandra went back to the hallway.	Sandra			go	move	hallway				be						
9	9	3	1	1	Where is Sandra?	Sandra			be	be					be					hallway	8
10	10	4	1	1	Daniel journeyed to the hallway.	Daniel			journey	move	hallway				be						
11	11	4	1	1	Daniel went to the bathroom.	Daniel			go	move	bathroom				be						
12	12	4	1	1	Where is Sandra?	Sandra			be	be					be					hallway	8
13	13	5	1	1	John travelled to the garden.	John			travel	move	garden				be						
14	14	5	1	1	Daniel moved to the hallway.	Daniel			move	move	hallway				be						
15	15	5	1	1	Where is Daniel?	Daniel			be	be					be					hallway	14
16	1	1	1	2	John went back to the bathroom.	John			go	move	bathroom				be						
17	2	1	1	2	Mary travelled to the bathroom.	Mary			travel	move	bathroom				be						
18	3	1	1	2	Where is John?	John			be	be					be					bathroom	1
19	4	2	1	2	Mary went to the garden.	Mary			go	move	garden				be						
20	5	2	1	2	Sandra moved to the garden.	Sandra			move	move	garden				be						
21	6	2	1	2	Where is John?	John			be	be					be					bathroom	1
22	7	3	1	2	John went to the kitchen.	John			go	move	kitchen				be						
23	8	3	1	2	Daniel moved to the bathroom.	Daniel			move	move	bathroom				be						
24	9	3	1	2	Where is John?	John			be	be					be					kitchen	7
25	10	4	1	2	Daniel went back to the hallway.	Daniel			go	move	hallway				be						
26	11	4	1	2	Mary went to the kitchen.	Mary			go	move	kitchen				be						
27	12	4	1	2	Where is Mary?	Mary			be	be					be					kitchen	11
28	13	5	1	2	Daniel went to the garden.	Daniel			go	move	garden				be						
29	14	5	1	2	Daniel travelled to the hallway.	Daniel			travel	move	hallway				be						
30	15	5	1	2	Where is Daniel?	Daniel			be	be					be					hallway	14
31	1	1	1	3	Mary went back to the bedroom.	Mary			go	move	bedroom				be						
32	2	1	1	3	Mary travelled to the bathroom.	Mary			travel	move	bathroom				be						
33	3	1	1	3	Where is Mary?	Mary			be	be					be					bathroom	2
34	4	2	1	3	John travelled to the office.	John			travel	move	office				be						
35	5	2	1	3	Mary travelled to the bedroom.	Mary			travel	move	bedroom				be						
36	6	2	1	3	Where is Mary?	Mary			be	be					be					bedroom	5
37	7	3	1	3	John journeyed to the kitchen.	John			journey	move	kitchen				be						
38	8	3	1	3	John moved to the hallway.	John			move	move	hallway				be						
39	9	3	1	3	Where is Mary?	Mary			be	be					be					bedroom	5
40	10	4	1	3	Daniel moved to the hallway.	Daniel			move	move	hallway				be						
41	11	4	1	3	Mary went back to the garden.	Mary			go	move	garden				be						
42	12	4	1	3	Where is Mary?	Mary			be	be					be					garden	11
43	13	5	1	3	Daniel went back to the office.	Daniel			go	move	office				be						
44	14	5	1	3	Daniel travelled to the kitchen.	Daniel			travel	move	kitchen				be						
45	15	5	1	3	Where is Daniel?	Daniel			be	be					be					kitchen	14
46	1	1	1	4	Daniel moved to the garden.	Daniel			move	move	garden				be						
47	2	1	1	4	Mary went back to the bathroom.	Mary			go	move	bathroom				be						
48	3	1	1	4	Where is Daniel?	Daniel			be	be					be					garden	1
49	4	2	1	4	Daniel travelled to the kitchen.	Daniel			travel	move	kitchen				be						
50	5	2	1	4	Sandra went to the kitchen.	Sandra			go	move	kitchen				be						
51	6	2	1	4	Where is Sandra?	Sandra			be	be					be					kitchen	5
52	7	3	1	4	Daniel journeyed to the garden.	Daniel			journey	move	garden				be						
53	8	3	1	4	Mary journeyed to the kitchen.	Mary			journey	move	kitchen				be						
54	9	3	1	4	Where is Mary?	Mary			be	be					be					kitchen	8
55	10	4	1	4	Mary moved to the hallway.	Mary			move	move	hallway				be						
56	11	4	1	4	John went back to the bedroom.	John			go	move	bedroom				be						
57	12	4	1	4	Where is Mary?	Mary			be	be					be					hallway	10
58	13	5	1	4	John moved to the office.	John			move	move	office				be						
59	14	5	1	4	John travelled to the bathroom.	John			travel	move	bathroom				be						
60	15	5	1	4	Where is Mary?	Mary			be	be					be					hallway	10
61	1	1	1	5	John went to the office.	John			go	move	office				be						
62	2	1	1	5	Daniel journeyed to the kitchen.	Daniel			journey	move	kitchen				be						
63	3	1	1	5	Where is Daniel?	Daniel			be	be					be					kitchen	2
64	4	2	1	5	John travelled to the bedroom.	John			travel	move	bedroom				be						
65	5	2	1	5	John moved to the garden.	John			move	move	garden				be						
66	6	2	1	5	Where is Daniel?	Daniel			be	be					be					kitchen	2
67	7	3	1	5	Daniel journeyed to the bathroom.	Daniel			journey	move	bathroom				be						
68	8	3	1	5	John journeyed to the bedroom.	John			journey	move	bedroom				be						
69	9	3	1	5	Where is John?	John			be	be					be					bedroom	8
70	10	4	1	5	Sandra journeyed to the kitchen.	Sandra			journey	move	kitchen				be						
71	11	4	1	5	Mary moved to the garden.	Mary			move	move	garden				be						
72	12	4	1	5	Where is John?	John			be	be					be					bedroom	8
73	13	5	1	5	Sandra journeyed to the bathroom.	Sandra			journey	move	bathroom				be						
74	14	5	1	5	Sandra went back to the bedroom.	Sandra			go	move	bedroom				be						
75	15	5	1	5	Where is Sandra?	Sandra			be	be					be					bedroom	14
76	1	1	2	1	John travelled to the office.	John			travel	move	office				be						
77	2	1	2	1	Daniel travelled to the office.	Daniel			travel	move	office				be						
78	3	1	2	1	Mary grabbed the football there.	Mary			grab	take	there	football			have						
79	4	1	2	1	Daniel went back to the hallway.	Daniel			go	move	hallway				be						
80	5	1	2	1	Mary left the football.	Mary			leave	put		football			not have						
81	6	1	2	1	Sandra grabbed the apple there.	Sandra			grab	take	there	apple			have						
82	7	1	2	1	Mary went to the bedroom.	Mary			go	move	bedroom				be						
83	8	1	2	1	Sandra journeyed to the bedroom.	Sandra			journey	move	bedroom				be						
84	9	1	2	1	Where is the apple?		apple		be	be					be					bedroom	6 8
85	10	2	2	1	Daniel journeyed to the bathroom.	Daniel			journey	move	bathroom				be						
86	11	2	2	1	Mary went back to the office.	Mary			go	move	office				be						
87	12	2	2	1	Where is the apple?		apple		be	be					be					bedroom	6 8
88	13	3	2	1	Sandra took the milk there.	Sandra			take	take	there	milk			have						
89	14	3	2	1	Sandra dropped the milk.	Sandra			drop	put		milk			not have						
90	15	3	2	1	Where is the milk?		milk		be	be					be					bedroom	14 8
91	16	4	2	1	Mary went back to the bathroom.	Mary			go	move	bathroom				be						
92	17	4	2	1	Daniel took the football there.	Daniel			take	take	there	football			have						
93	18	4	2	1	Where is the milk?		milk		be	be					be					bedroom	14 8
94	19	5	2	1	Sandra picked up the milk there.	Sandra			pick up	take	there	milk			have						
95	20	5	2	1	Mary went back to the bedroom.	Mary			go	move	bedroom				be						
96	21	5	2	1	John moved to the bedroom.	John			move	move	bedroom				be						
97	22	5	2	1	Daniel discarded the football there.	Daniel			discard	put	there	football			not have						
98	23	5	2	1	Where is the football?		football		be	be					be					bathroom	22 10
99	1	1	2	2	Sandra moved to the hallway.	Sandra			move	move	hallway				be						
100	2	1	2	2	Daniel journeyed to the garden.	Daniel			journey	move	garden				be						
101	3	1	2	2	Daniel went back to the office.	Daniel			go	move	office				be						
102	4	1	2	2	Sandra got the apple there.	Sandra			get	take	there	apple			have						
103	5	1	2	2	Sandra discarded the apple.	Sandra			discard	put		apple			not have						
104	6	1	2	2	Daniel travelled to the kitchen.	Daniel			travel	move	kitchen				be						
105	7	1	2	2	Where is the apple?		apple		be	be					be					hallway	5 1
106	8	2	2	2	John journeyed to the hallway.	John			journey	move	hallway				be						
107	9	2	2	2	Mary went back to the garden.	Mary			go	move	garden				be						
108	10	2	2	2	Where is the apple?		apple		be	be					be					hallway	5 1
109	11	3	2	2	Sandra grabbed the apple there.	Sandra			grab	take	there	apple			have						
110	12	3	2	2	Sandra dropped the apple there.	Sandra			drop	put	there	apple			not have						
111	13	3	2	2	Where is the apple?		apple		be	be					be					hallway	12 1
112	14	4	2	2	Daniel grabbed the football there.	Daniel			grab	take	there	football			have						
113	15	4	2	2	Daniel discarded the football.	Daniel			discard	put		football			not have						
114	16	4	2	2	Where is the apple?		apple		be	be					be					hallway	12 1
115	17	5	2	2	Mary went back to the office.	Mary			go	move	office				be						
116	18	5	2	2	Daniel took the football there.	Daniel			take	take	there	football			have						
117	19	5	2	2	Where is the apple?		apple		be	be					be					hallway	12 1
118	1	1	2	3	Sandra grabbed the milk there.	Sandra			grab	take	there	milk			have						
119	2	1	2	3	Sandra moved to the garden.	Sandra			move	move	garden				be						
120	3	1	2	3	Where is the milk?		milk		be	be					be					garden	1 2
121	4	2	2	3	Sandra grabbed the football there.	Sandra			grab	take	there	football			have						
122	5	2	2	3	Sandra dropped the milk.	Sandra			drop	put		milk			not have						
123	6	2	2	3	Where is the milk?		milk		be	be					be					garden	5 2
124	7	3	2	3	Sandra discarded the football.	Sandra			discard	put		football			not have						
125	8	3	2	3	Sandra went to the hallway.	Sandra			go	move	hallway				be						
126	9	3	2	3	Where is the milk?		milk		be	be					be					garden	5 2
127	10	4	2	3	John went to the office.	John			go	move	office				be						
128	11	4	2	3	Mary travelled to the office.	Mary			travel	move	office				be						
