id	task_id	sample_no	task	true_result	model_result	accuracy	soft_accuracy
1	12	1	"1. Mary and John journeyed to the office.
2. John and Sandra went to the hallway.
Where is Mary?"	office	office	0.56	0.56
2	12	1	"4. Daniel and Mary journeyed to the bedroom.
5. Mary and Sandra moved to the bathroom.
Where is Daniel?"	bedroom	bedroom		
3	12	1	"7. Mary and John travelled to the office.
8. Sandra and Mary went back to the bedroom.
Where is Mary?"	bedroom	office		
4	12	1	"10. Daniel and Mary went to the hallway.
11. John and Sandra travelled to the garden.
Where is Daniel?"	hallway	hallway		
5	12	1	"13. Sandra and John moved to the office.
14. John and Mary went back to the bedroom.
Where is John?"	bedroom	office		
6	12	2	"1. Daniel and Sandra went back to the kitchen.
2. Daniel and John went back to the hallway.
Where is Daniel?"	hallway	kitchen		
7	12	2	"4. Daniel and John moved to the bathroom.
5. Sandra and Mary travelled to the office.
Where is Daniel?"	bathroom	bathroom		
8	12	2	"7. John and Mary travelled to the hallway.
8. Sandra and Mary journeyed to the garden.
Where is Mary?"	garden	hallway		
9	12	2	"10. Daniel and Sandra went back to the bedroom.
11. Daniel and John went back to the kitchen.
Where is Mary?"	garden	hallway		
10	12	2	"13. Sandra and John journeyed to the hallway.
14. John and Sandra journeyed to the bathroom.
Where is John?"	bathroom	hallway		
11	12	3	"1. John and Daniel moved to the hallway.
2. Mary and Sandra travelled to the hallway.
Where is Daniel?"	hallway	hallway		
12	12	3	"4. Daniel and John moved to the kitchen.
5. John and Daniel travelled to the garden.
Where is John?"	garden	kitchen		
13	12	3	"7. Sandra and John moved to the bedroom.
8. Sandra and Daniel went back to the kitchen.
Where is Sandra?"	kitchen	bedroom		
14	12	3	"10. Sandra and John journeyed to the hallway.
11. John and Daniel went back to the bedroom.
Where is Daniel?"	bedroom	kitchen		
15	12	3	"13. John and Sandra went back to the kitchen.
14. Daniel and Sandra travelled to the bathroom.
Where is Daniel?"	bathroom	bathroom		
16	12	4	"1. Mary and Sandra journeyed to the kitchen.
2. Daniel and Mary went to the hallway.
Where is Daniel?"	hallway	hallway		
17	12	4	"4. John and Mary went back to the kitchen.
5. Mary and Daniel went to the bedroom.
Where is Daniel?"	bedroom	bedroom		
18	12	4	"7. Sandra and Daniel went to the garden.
8. Daniel and John went to the bathroom.
Where is Daniel?"	bathroom	garden		
