task_id	sample_no	task	true_result	model_result	accuracy	in_accuracy
1	1	"John travelled to the hallway.
Mary journeyed to the bathroom.
Where is John?"	hallway	hallway.	0.0	0.64
1	1	" 
Daniel went back to the bathroom.
John moved to the bedroom.
Where is Mary?"	bathroom	bathroom.
1	1	" 
John went to the hallway.
Sandra journeyed to the kitchen.
Where is Sandra?"	kitchen	kitchen.
1	1	" 
Sandra travelled to the hallway.
John went to the garden.
Where is Sandra?"	hallway	hallway.
1	1	" 
Sandra went back to the bathroom.
Sandra moved to the kitchen.
Where is Sandra?"	kitchen	kitchen.
1	2	"Sandra travelled to the kitchen.
Sandra travelled to the hallway.
Where is Sandra?"	hallway	according to the context sentences, sandra is in the hallway.
1	2	" 
Mary went to the bathroom.
Sandra moved to the garden.
Where is Sandra?"	garden	according to the context sentences, sandra is in the garden.
1	2	" 
Sandra travelled to the office.
Daniel journeyed to the hallway.
Where is Daniel?"	hallway	the context sentences do not mention daniel's location, only sandra
1	2	" 
Daniel journeyed to the office.
John moved to the hallway.
Where is Sandra?"	office	according to the context sentences, sandra is in the garden.
1	2	" 
John travelled to the bathroom.
John journeyed to the office.
Where is Daniel?"	office	the context sentences do not mention daniel's location, only john
1	3	"John travelled to the office.
Mary journeyed to the kitchen.
Where is Mary?"	kitchen	according to the context sentence, mary is already in the kitchen
1	3	" 
Mary moved to the garden.
Daniel went to the office.
Where is Mary?"	garden	according to the context sentence, mary is in the garden.
1	3	" 
John went to the hallway.
Mary moved to the kitchen.
Where is Daniel?"	office	according to the context sentence, daniel is still at the office
1	3	" 
Mary travelled to the bedroom.
Daniel journeyed to the garden.
Where is Mary?"	bedroom	according to the context sentence, mary is in the bedroom.
1	3	" 
John journeyed to the garden.
Sandra journeyed to the bedroom.
Where is Mary?"	bedroom	according to the context sentence, mary is still in the bedroom
1	4	"John moved to the hallway.
John journeyed to the kitchen.
Where is John?"	kitchen	according to the context sentences, john is in the hallway.
1	4	" 
Sandra travelled to the garden.
John journeyed to the garden.
Where is John?"	garden	according to the context sentences, john is in the garden.
1	4	" 
Daniel journeyed to the office.
John went to the kitchen.
Where is John?"	kitchen	according to the context sentences, john is in the kitchen.
1	4	" 
Sandra journeyed to the hallway.
Mary went to the hallway.
Where is Daniel?"	office	according to the context sentences, we don't have any information
1	4	" 
Mary went to the kitchen.
Sandra travelled to the garden.
Where is John?"	kitchen	according to the context sentences, we don't have any information
1	5	"Mary journeyed to the kitchen.
Mary travelled to the hallway.
Where is Mary?"	hallway	according to the context sentences, mary is in the kitchen.
1	5	" 
Sandra moved to the office.
John journeyed to the office.
Where is John?"	office	according to the context sentences, john is in the office.
1	5	" 
Sandra travelled to the hallway.
Daniel went back to the bathroom.
Where is John?"	office	according to the context sentences, we know that john journeyed
